組付数,459,,,,,,,,
組付番号,親部品,子部品,組立部品,ASP,,,０度方向,組付方向,接触線番号
,,,,ASP-X,ASP-Y,ASP-Z,,,
426,143,234,73,0,90,1040,前上,上,16
427,192,234,138,0,90,1040,前上,上,16
428,227,234,199,0,90,1040,前上,上,16
429,194,234,139,0,90,1040,前上,上,16
430,24,234,15,0,90,1040,前上,上,16
431,44,234,19,0,90,1040,前上,上,16
432,40,234,18,0,90,1040,前上,上,16
433,184,234,140,0,90,1040,前上,上,16
434,43,234,17,0,90,1040,前上,上,16
435,98,234,42,0,90,1040,前上,上,16
436,165,234,107,0,90,1040,前上,上,16
437,174,234,106,0,90,1040,前上,上,16
438,64,234,26,0,90,1040,前上,上,16
439,80,234,32,0,90,1040,前上,上,16
440,99,234,41,0,90,1040,前上,上,16
441,206,234,172,0,90,1040,前上,上,16
442,65,234,25,0,90,1040,前上,上,16
443,173,234,102,0,90,1040,前上,上,16
444,54,235,26,0,90,1040,奥下,上,11
445,72,235,35,0,90,1040,奥下,上,11
446,80,235,43,0,90,1040,奥下,上,11
447,51,235,20,0,90,1040,奥下,上,11
448,65,235,24,0,90,1040,奥下,上,11
449,25,235,15,0,90,1040,奥下,上,11
450,58,235,27,0,90,1040,奥下,上,11
451,198,235,157,0,90,1040,奥下,上,11
452,155,235,96,0,90,1040,奥下,上,11
453,41,235,19,0,90,1040,奥下,上,11
454,177,235,111,0,90,1040,奥下,上,11
455,181,235,132,0,90,1040,奥下,上,11
456,131,235,64,0,90,1040,奥下,上,11
457,99,235,44,0,90,1040,奥下,上,11
458,32,235,17,0,90,1040,奥下,上,11
459,30,235,16,0,90,1040,奥下,上,11
