製品名,Eモダン,,,,,,,,,,,,,,,
組付け数,459,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
組付け番号,部品1,部品2,組立部品,部品非対称,位置決め複数,視認性・X+,視認性・Z+,視認性・親子逆・X+,視認性・親子逆・Z+,接触有効空間（可）,接触有効空間（不可）,接触点,特殊組付け,方向注意,組付け力,組付け不可
337,12,166,137,0,0,0,1,0,0,0,0,0,1,0,1,0
338,12,72,51,0,0,0,1,0,0,0,0,0,1,0,1,0
339,12,139,106,0,0,0,1,0,0,0,0,0,1,0,1,0
340,12,206,184,0,0,0,1,0,0,0,0,0,1,0,1,0
341,12,181,155,0,0,0,1,0,0,0,0,0,1,0,1,0
342,13,65,30,1,0,0,0,0,0,0,0,0,1,0,1,0
343,13,64,35,1,0,0,0,0,0,0,0,0,1,0,1,0
344,13,143,101,1,0,0,0,0,0,0,0,0,1,0,1,0
345,13,67,36,1,0,0,0,0,0,0,0,0,1,0,1,0
346,13,68,34,1,0,0,0,0,0,0,0,0,1,0,1,0
347,13,44,27,1,0,0,0,0,0,0,0,0,1,0,1,0
348,13,206,182,1,0,0,0,0,0,0,0,0,1,0,1,0
349,13,40,21,1,0,0,0,0,0,0,0,0,1,0,1,0
350,13,43,20,1,0,0,0,0,0,0,0,0,1,0,1,0
351,13,165,136,1,0,0,0,0,0,0,0,0,1,0,1,0
352,13,174,137,1,0,0,0,0,0,0,0,0,1,0,1,0
353,13,173,133,1,0,0,0,0,0,0,0,0,1,0,1,0
354,13,184,161,1,0,0,0,0,0,0,0,0,1,0,1,0
355,13,98,59,1,0,0,0,0,0,0,0,0,1,0,1,0
356,13,24,16,1,0,0,0,0,0,0,0,0,1,0,1,0
357,13,194,166,1,0,0,0,0,0,0,0,0,1,0,1,0
358,13,131,72,1,0,0,0,0,0,0,0,0,1,0,1,0
359,13,227,215,1,0,0,0,0,0,0,0,0,1,1,1,0
360,13,80,51,1,0,0,0,0,0,0,0,0,1,0,1,0
361,13,99,58,1,0,0,0,0,0,0,0,0,1,0,1,0
362,13,192,163,1,0,0,0,0,0,0,0,0,1,0,1,0
363,14,199,172,1,1,0,1,0,1,0,0,1,0,0,0,0
364,14,227,206,1,1,0,1,0,1,0,0,1,0,0,0,0
365,14,215,182,1,1,0,1,0,1,0,0,1,0,0,0,0
366,199,198,54,1,1,0,1,0,1,0,0,1,1,0,1,1
367,199,177,32,1,1,0,1,0,1,0,0,1,1,0,1,1
368,199,179,42,1,1,0,1,0,1,0,0,1,1,0,1,1
369,199,181,41,1,1,0,1,0,1,0,0,1,1,0,1,1
370,199,126,18,1,1,0,1,0,1,0,0,1,1,0,1,1
371,199,111,17,1,1,0,1,0,1,0,0,1,1,0,1,1
372,199,157,26,1,1,0,1,0,1,0,0,1,1,0,1,1
373,199,132,19,1,1,0,1,0,1,0,0,1,1,0,1,1
374,199,160,28,1,1,0,1,0,1,0,0,1,1,0,1,1
375,199,96,15,1,1,0,1,0,1,0,0,1,1,0,1,1
376,199,155,25,1,1,0,1,0,1,0,0,1,1,0,1,1
377,199,151,23,1,1,0,1,0,1,0,0,1,1,0,1,1
378,204,199,73,1,1,0,1,0,1,0,0,1,1,0,1,1
379,204,215,101,1,1,0,1,0,1,0,0,1,1,0,1,1
380,215,181,58,1,1,0,1,0,1,0,0,1,1,0,1,1
381,215,179,59,1,1,0,1,0,1,0,0,1,1,0,1,1
382,215,96,16,1,1,0,1,0,1,0,0,1,1,0,1,1
383,215,177,51,1,1,0,1,0,1,0,0,1,1,0,1,1
384,215,160,36,1,1,0,1,0,1,0,0,1,1,0,1,1
