組付番号,存在フラグ,部品1,部品2,組立部品,部品1の構成部品,,,,,,,,,,,,,,部品2の構成部品,,,,,,,,,,,,,,組立部品の構成部品,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
79,1,4,62,40,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,6,7,8,9,0,11,12,0,14,0,2,3,4,5,6,7,8,9,0,11,12,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
80,1,4,55,32,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,7,8,0,0,11,12,13,14,1,2,3,4,5,0,7,8,0,0,11,12,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
81,1,4,167,155,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,8,9,0,0,12,0,14,0,0,3,4,0,0,7,8,9,0,0,12,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
82,1,4,93,54,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,7,8,0,0,11,0,13,14,1,2,3,4,5,0,7,8,0,0,11,0,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
83,1,4,94,67,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,6,7,8,9,0,11,0,0,14,0,2,3,4,5,6,7,8,9,0,11,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,1,4,22,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,6,7,8,9,0,11,12,13,14,1,2,3,4,5,6,7,8,9,0,11,12,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
85,1,4,169,151,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,8,0,0,0,12,0,14,0,0,3,4,0,6,7,8,0,0,0,12,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
86,1,4,180,160,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,8,9,0,0,0,0,14,0,0,3,4,0,6,7,8,9,0,0,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
87,1,4,52,34,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,6,7,8,0,0,11,12,13,14,0,2,3,4,5,6,7,8,0,0,11,12,13,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
88,1,4,122,80,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,7,8,0,0,11,12,0,14,0,2,3,4,5,0,7,8,0,0,11,12,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
